Ticker_Symbol,Years,Period_Ending,Total_Revenue,Cost_of_Goods_Sold,Sales_General_and_Admin,Research_and_Development,Other_Operating_Items,GICS_Sector,GICS_Sub_Industry
AAL,Year 1,12/31/2012,24855000000.0,10499000000.0,12977000000.0,0.0,845000000.0,Industrials,Airlines
AAL,Year 2,12/31/2013,26743000000.0,11019000000.0,12913000000.0,0.0,853000000.0,Industrials,Airlines
AAL,Year 3,12/31/2014,42650000000.0,15620000000.0,20686000000.0,0.0,1295000000.0,Industrials,Airlines
AAL,Year 4,12/31/2015,40990000000.0,11096000000.0,21275000000.0,0.0,1364000000.0,Industrials,Airlines
AAP,Year 1,12/29/2012,6205003000.0,3106967000.0,2440721000.0,0.0,0.0,Consumer Discretionary,Automotive Retail
AAP,Year 2,12/28/2013,6493814000.0,3241668000.0,2591828000.0,0.0,0.0,Consumer Discretionary,Automotive Retail
AAP,Year 3,1/3/2015,9843861000.0,5390248000.0,3601903000.0,0.0,0.0,Consumer Discretionary,Automotive Retail
AAP,Year 4,1/2/2016,9737018000.0,5314246000.0,3596992000.0,0.0,0.0,Consumer Discretionary,Automotive Retail
AAPL,Year 1,9/28/2013,170910000000.0,106606000000.0,10830000000.0,4475000000.0,0.0,Information Technology,Computer Hardware
AAPL,Year 2,9/27/2014,182795000000.0,112258000000.0,11993000000.0,6041000000.0,0.0,Information Technology,Computer Hardware
AAPL,Year 3,9/26/2015,233715000000.0,140089000000.0,14329000000.0,8067000000.0,0.0,Information Technology,Computer Hardware
AAPL,Year 4,9/24/2016,215639000000.0,131376000000.0,14194000000.0,10045000000.0,0.0,Information Technology,Computer Hardware
ABBV,Year 1,12/31/2012,18380000000.0,4508000000.0,4989000000.0,2778000000.0,0.0,Health Care,Pharmaceuticals
ABBV,Year 2,12/31/2013,18790000000.0,4581000000.0,5352000000.0,2855000000.0,0.0,Health Care,Pharmaceuticals
ABBV,Year 3,12/31/2014,19960000000.0,4426000000.0,8474000000.0,3297000000.0,0.0,Health Care,Pharmaceuticals
ABBV,Year 4,12/31/2015,22859000000.0,4500000000.0,6387000000.0,4285000000.0,0.0,Health Care,Pharmaceuticals
ABC,Year 1,9/30/2013,87959167000.0,85451348000.0,1447234000.0,0.0,162186000.0,Health Care,Health Care Distributors
ABC,Year 2,9/30/2014,119569127000.0,116586761000.0,2011595000.0,0.0,188680000.0,Health Care,Health Care Distributors
ABC,Year 3,9/30/2015,135961803000.0,132432490000.0,2858458000.0,0.0,248635000.0,Health Care,Health Care Distributors
ABC,Year 4,9/30/2016,146849686000.0,142577080000.0,2382097000.0,0.0,364735000.0,Health Care,Health Care Distributors
ABT,Year 1,12/31/2012,19050000000.0,8899000000.0,6735000000.0,1461000000.0,595000000.0,Health Care,Health Care Equipment
ABT,Year 2,12/31/2013,19657000000.0,9193000000.0,6372000000.0,1371000000.0,588000000.0,Health Care,Health Care Equipment
ABT,Year 3,12/31/2014,20247000000.0,9218000000.0,6530000000.0,1345000000.0,555000000.0,Health Care,Health Care Equipment
ABT,Year 4,12/31/2015,20405000000.0,8747000000.0,6785000000.0,1405000000.0,601000000.0,Health Care,Health Care Equipment
