Genre,TracksSold,,,,,,,,,,,,,,,,,,,
Rock,835,,,,,,,,,,,,,,,,,,,
Latin,386,,,,,,,,,,,,,,,,,,,
Metal,264,,,,,,,,,,,,,,,,,,,
Alternative & Punk,244,,,,,,,,,,,,,,,,,,,
Jazz,80,,,,,,,,,,,,,,,,,,,
Blues,61,,,,,,,,,,,,,,,,,,,
TV Shows,47,,,,,,,,,,,,,,,,,,,
R&B/Soul,41,,,,,,,,,,,,,,,,,,,
Classical,41,,,,,,,,,,,,,,,,,,,
Reggae,30,,,,,,,,,,,,,,,,,,,
Drama,29,,,,,,,,,,,,,,,,,,,
Pop,28,,,,,,,,,,,,,,,,,,,
Soundtrack,20,,,,,,,,,,,,,,,,,,,
Sci Fi & Fantasy,20,,,,,,,,,,,,,,,,,,,
Hip Hop/Rap,17,,,,,,,,,,,,,,,,,,,
Bossa Nova,15,,,,,,,,,,,,,,,,,,,
Alternative,14,,,,,,,,,,,,,,,,,,,
World,13,,,,,,,,,,,,,,,,,,,
Heavy Metal,12,,,,,,,,,,,,,,,,,,,
Electronica/Dance,12,,,,,,,,,,,,,,,,,,,
Easy Listening,10,,,,,,,,,,,,,,,,,,,
Comedy,9,,,,,,,,,,,,,,,,,,,S
Science Fiction,6,,,,,,,,,,,,,,,,,,,
Rock And Roll,6,,,,,,,,,,,,,,,,,,,
